;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
55;308,8598628;2,343654434;0,008207321;0,001167202;0,1;5;500;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500};0,761242287;0,685300701;0,694483061;0,659750321;0,779942008;0,716143676;0,046270495;1;-7,535339154;-9,581899187;-9,209992593;-10,42962669;-6,531748367;-8,657721198;1,419736571;1
51;186,6616251;4,659407101;0,005404854;0,000490349;0,1;3;500;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500};0,76945762;0,698799786;0,659052964;0,659295837;0,783334227;0,713988087;0,053151765;2;-7,404563892;-9,374138106;-9,729378375;-10,43658999;-6,481209015;-8,685175876;1,491972935;2
54;63,81510811;1,418505745;0,003603172;0,001201057;0,1;5;100;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100};0,757044561;0,679784247;0,689373716;0,648407964;0,773004034;0,709522904;0,047568004;3;-7,601291926;-9,66551627;-9,286685417;-10,60203947;-6,633915606;-8,757889737;1,438977667;3
59;441,3716115;2,591748976;0,01241107;0,00135776;0,1;7;500;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500};0,752194225;0,700422906;0,669739081;0,63277839;0,782046506;0,707436222;0,054062975;4;-7,676792653;-9,348846127;-9,575693269;-10,83512727;-6,500440535;-8,787379971;1,522724353;4
58;87,13288498;1,884015278;0,003803635;0,000400496;0,1;7;100;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100};0,750947391;0,699334118;0,668361122;0,63065449;0,780568066;0,705973038;0,054256291;5;-7,696081295;-9,365819519;-9,595648968;-10,86641566;-6,522450437;-8,809283177;1,525039038;5
39;308,5653665;4,552746654;0,009408522;0,00049033;0,01;5;500;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500};0,747483215;0,685844282;0,67724663;0,633217103;0,77575568;0,703909382;0,051176592;6;-7,74942045;-9,573620193;-9,466229446;-10,82865308;-6,593584826;-8,842301598;1,491363226;6
57;42,08738856;1,852073838;0,003002691;1,78E-07;0,1;7;50;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50};0,747936061;0,696282305;0,664848326;0,626526416;0,776588121;0,702436246;0,054372344;7;-7,742468696;-9,413231883;-9,646334777;-10,92697241;-6,581335084;-8,86206857;1,525642912;7
53;31,61180534;1,206255862;0,002402258;0,000490408;0,1;5;50;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50};0,744505199;0,675172497;0,679592668;0,635700292;0,760013058;0,698996743;0,046356367;8;-7,794982288;-9,734868877;-9,431762505;-10,79193482;-6,821104118;-8,914930521;1,421334048;8
50;38,37327957;1,93773261;0,002802753;0,000748876;0,1;3;100;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100};0,749600667;0,681534132;0,643081186;0,62694391;0,770250622;0,694282103;0,056832801;9;-7,716861094;-9,639070496;-9,954658237;-10,92086325;-6,674028304;-8,981096277;1,553338476;9
43;430,2987882;3,457230626;0,015814161;0,00183462;0,01;7;500;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500};0,715807551;0,690893605;0,656848385;0,622541233;0,778129786;0,692844112;0,052996146;10;-8,221108244;-9,496371699;-9,760782993;-10,98511632;-6,558588355;-9,004393523;1,505518457;10
35;189,0345823;2,332813715;0,006005621;0,000633088;0,01;3;500;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500};0,739145851;0,676642013;0,635970176;0,597116263;0,7607036;0,68191558;0,061339336;11;-7,876313132;-9,71282371;-10,05333413;-11,34905682;-6,811283472;-9,160562252;1,616165177;11
49;19,10833259;0,588290296;0,002001858;2,43E-07;0,1;3;50;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50};0,740948239;0,67426172;0,624096777;0,601095809;0,752313411;0,678543191;0,060526483;12;-7,849055015;-9,748507027;-10,21597117;-11,29286669;-6,929663055;-9,207212592;1,593258953;12
47;547,4760619;8,115236928;0,022620344;0,002873129;0,01;9;500;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500};0,660194061;0,689289618;0,619400163;0,535069891;0,734325808;0,647655908;0,067640581;13;-8,989583725;-9,520978673;-10,2795933;-12,19168514;-7,176877883;-9,631743745;1,638536774;13
63;565,3067212;6,081454478;0,018817186;0,001327625;0,1;9;500;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500};0,679781692;0,680011896;0,589499133;0,520867729;0,716467058;0,637325502;0,071746521;14;-8,726642368;-9,662079943;-10,67575683;-12,37649337;-7,414171622;-9,771028826;1,689045117;14
62;113,0050617;3,130547062;0,011410427;0,012811446;0,1;9;100;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100};0,679591455;0,67976273;0,589174149;0,520543277;0,716227787;0,63705988;0,071790233;15;-8,729234163;-9,665841009;-10,67998188;-12,38068313;-7,417299328;-9,774607901;1,68954848;15
61;56,56766038;1,44401599;0,00320282;0,000400353;0,1;9;50;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 50};0,677966684;0,678406428;0,588101485;0,518497471;0,714146615;0,635423737;0,071785587;16;-8,75133887;-9,686288254;-10,69391547;-12,40706873;-7,444448709;-9,796612008;1,688613471;16
56;9,37265358;0,753570542;0,002002048;4,62E-07;0,1;7;10;{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 10};0,618287459;0,588825988;0,564038047;0,504398117;0,630207428;0,581151408;0,044784849;17;-9,527793005;-10,95258263;-11,0018553;-12,58740993;-8,467202841;-10,50736874;1,406495591;17
42;86,00185752;1,845396359;0,004003859;1,17E-07;0,01;7;100;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100};0,593105222;0,579187391;0,556655071;0,49332166;0,61760868;0,567975605;0,042242183;18;-9,837056308;-11,0802123;-11,0946219;-12,72729386;-8,610232622;-10,6698834;1,379671895;18
52;6,438806486;0,4367267;0,002001905;1,17E-07;0,1;5;10;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10};0,607710863;0,550415049;0,551656667;0,494473799;0,585809756;0,558013227;0,038413277;19;-9,658890439;-11,45274503;-11,15698866;-12,71281528;-8,96108929;-10,78850574;1,33382475;19
38;62,71326728;1,805184664;0,003202915;0,000400543;0,01;5;100;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100};0,607615342;0,546737055;0,540131148;0,484162016;0,585403366;0,552809785;0,042370114;20;-9,660066321;-11,4994963;-11,29948451;-12,8418195;-8,965484385;-10,8532702;1,382643444;20
46;109,1978435;1,844701167;0,00560503;0,000490213;0,01;9;100;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100};0,54744747;0,592000405;0,554768141;0,441775829;0,58323887;0,543846143;0,053705174;21;-10,37429511;-10,9102217;-11,11820687;-13,35900832;-8,988857093;-10,95011782;1,414970991;21
60;11,17859244;0,393319418;0,00200181;2,78E-07;0,1;9;10;{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 10};0,561754515;0,593408337;0,525433531;0,445467478;0,583562799;0,541925332;0,053578862;22;-10,20899108;-10,89138083;-11,47863268;-13,31476215;-8,985363099;-10,97582597;1,433913959;22
48;3,951660776;0,238670673;0,002201986;0,000980747;0,1;3;10;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10};0,560841181;0,519115729;0,494508033;0,439667616;0,554651987;0,513756909;0,044221704;23;-10,21962367;-11,8446981;-11,84673743;-13,38421065;-9,292030607;-11,31746009;1,423880733;23
34;36,84846988;1,559086993;0,00240221;0,000490154;0,01;3;100;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100};0,556511684;0,502755056;0,485057422;0,42897172;0,556465078;0,505952192;0,047917888;24;-10,26987577;-12,04450337;-11,95696712;-13,51134895;-9,273096563;-11,41115835;1,482138172;24
68;6,44781661;0,184612853;0,002001858;1,17E-07;1;5;10;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 10};0,469926801;0,459346404;0,543400222;0,426525663;0,340572269;0,447954272;0,065897772;25;-11,2277316;-12,55923705;-11,2592505;-13,54025663;-11,30692407;-11,97867997;0,928259275;25
69;31,54691553;1,518682935;0,002602386;0,00049031;1;5;50;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 50};0,462074925;0,471654277;0,522576022;0,421813518;0,329736259;0,441571;0,064474174;26;-11,31058307;-12,41545979;-11,51313898;-13,59577188;-11,39944573;-12,04687989;0,869609209;26
70;61,64510784;1,57569695;0,002802467;0,000400353;1;5;100;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 100};0,463269629;0,469583024;0,519963694;0,421588669;0,328939396;0,440668882;0,064003158;27;-11,29801597;-12,4397719;-11,54459433;-13,59841523;-11,40622001;-12,05740349;0,870012109;27
71;287,4329308;7,830516787;0,008207464;0,000980757;1;5;500;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 500};0,462731737;0,469933433;0,519909956;0,421556684;0,328790683;0,440584499;0,064037963;28;-11,30367579;-12,43566219;-11,54524048;-13,5987912;-11,40748379;-12,05817069;0,86853495;28
64;4,129550219;0,23913586;0,001801538;0,000400567;1;3;10;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 10};0,582156688;0,548458038;0,350350534;0,348379707;0,247049357;0,415278865;0,128512453;29;-9,968523257;-11,47764446;-13,4301597;-14,43335196;-12,08214732;-12,27836534;1,548265059;29
41;43,07814183;1,172843516;0,002602482;0,00080086;0,01;7;50;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50};0,419502457;0,431485385;0,407927243;0,343878491;0,427973842;0,406153484;0,032178717;30;-11,74963274;-12,87877413;-12,82121471;-14,48311701;-10,5309807;-12,49274386;1,312952899;30
27;418,0523823;2,277566944;0,012611389;0,001497995;0,001;7;500;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 500};0,420508344;0,429569738;0,405137521;0,345662599;0,428761258;0,405927892;0,031386046;31;-11,73944844;-12,90045381;-12,85138464;-14,46341256;-10,52373005;-12,4956859;1,313225937;31
45;52,46720715;1,391580756;0,003403044;0,000490388;0,01;9;50;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50};0,390911467;0,441842845;0,427810721;0,327073466;0,402584179;0,398044535;0,03978115;32;-12,03550481;-12,76091918;-12,60408989;-14,66742002;-10,76215474;-12,56601773;1,264175088;32
31;538,2846864;4,08574034;0,019417763;0,003009315;0,001;9;500;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 500};0,39098766;0,440790647;0,42501607;0,322497686;0,399366857;0,395731784;0,040710746;33;-12,034752;-12,77294149;-12,63483245;-14,71720345;-10,79109507;-12,59016489;1,273171724;33
37;32,15699997;2,157030179;0,002402258;0,000490408;0,01;5;50;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50};0,430053378;0,380377894;0,391660218;0,330201326;0,397637508;0,385986065;0,03241379;34;-11,64236448;-13,44519674;-12,99615082;-14,63329216;-10,80661882;-12,7047246;1,347888396;34
23;305,1888373;5,192270709;0,00760684;0,000490349;0,001;5;500;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500};0,428170753;0,38038799;0,391385329;0,329494729;0,396354996;0,38515876;0,032048095;35;-11,66157691;-13,4450872;-12,99908675;-14,64100875;-10,81811709;-12,71297534;1,343955861;35
72;10,0178339;0,860214104;0,001801634;0,000400138;1;7;10;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 10};0,501057118;0,526207332;0,295325327;0,313062116;0,233896144;0,373909607;0,117339475;36;-10,89305044;-11,7570368;-13,98736684;-14,81933228;-12,18722128;-12,72880153;1,45340451;36
65;19,94677992;0,720598425;0,002001953;2,78E-07;1;3;50;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 50};0,5478867;0,505245889;0,25988122;0,289113621;0,248048367;0,370035159;0,129209965;37;-10,36925944;-12,01429843;-14,33482337;-15,07544006;-12,0741294;-12,77359014;1,707778534;37
73;43,76369271;2,097676009;0,002402258;0,000490116;1;7;50;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 50};0,496909214;0,525101211;0,295931804;0,304219149;0,200509864;0,364534248;0,125342001;38;-10,93823578;-11,77075284;-13,98134644;-14,91441207;-12,44994484;-12,8109384;1,450087854;38
75;179,1204681;5,578058028;0,006205511;0,000400448;1;7;500;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 500};0,496900385;0,524946606;0,29606418;0,304377075;0,200070603;0,36447177;0,125385984;39;-10,93833177;-11,77266869;-13,98003202;-14,91271936;-12,45336453;-12,81142327;1,448915497;39
74;86,88263946;2,677761206;0,003803587;0,000748927;1;7;100;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 100};0,496900875;0,524946449;0,296060871;0,30437501;0,200070474;0,364470736;0,125386641;40;-10,93832644;-11,77267064;-13,98006488;-14,9127415;-12,45336554;-12,8114338;1,448928267;40
66;38,52229357;0,824196799;0,002202034;0,000400305;1;3;100;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 100};0,535494751;0,497613144;0,249253204;0,285671036;0,225753273;0,358757082;0,130797471;41;-10,51040405;-12,10661812;-14,43737967;-15,11189863;-12,25181869;-12,88362383;1,674183594;41
67;187,3123853;4,328722006;0,007206535;0,000400376;1;3;500;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 500};0,531297096;0,491212791;0,247205557;0,283539034;0,217096334;0,354070162;0,130670578;42;-10,55778762;-12,18349254;-14,45705509;-15,13443349;-12,32012278;-12,9305783;1,658194066;42
33;17,7967454;0,182434626;0,002002048;2,34E-07;0,01;3;50;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50};0,379097487;0,354816462;0,353009412;0,291674818;0,372275708;0,350174777;0,030908898;43;-12,15166554;-13,71972317;-13,4026481;-15,0482585;-11,03177359;-13,07081378;1,374336451;43
19;186,9763442;4,795408955;0,006605959;0,002060876;0,001;3;500;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500};0,377973296;0,354554049;0,352656085;0,290612013;0,372288272;0,349616743;0,031091044;44;-12,16266132;-13,72251297;-13,40630726;-15,05954383;-11,03166319;-13,07653771;1,376591958;44
76;11,49487309;0,440628709;0,001801586;0,000400472;1;9;10;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 10};0,399638461;0,456981131;0,302421832;0,289730146;0,135838004;0,316921915;0,109726604;45;-11,94897163;-12,5866794;-13,91675796;-15,06890146;-12,94370045;-13,29300218;1,0927224;45
78;106,9541644;3,089280817;0,003603172;0,000490135;1;9;100;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 100};0,397132439;0,460920308;0,302953949;0,289483541;0,132363752;0,316570798;0,11151532;46;-11,97388429;-12,54094305;-13,91144905;-15,07151719;-12,9696936;-13,29349743;1,091401333;46
79;112,0617397;7,552589766;0,003603125;0,000800979;1;9;500;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 500};0,39713244;0,460920308;0,302953945;0,289483541;0,13236375;0,316570797;0,111515321;47;-11,97388429;-12,54094304;-13,91144908;-15,0715172;-12,96969361;-13,29349744;1,091401337;47
77;57,30389776;2,116668409;0,003002739;0,000633088;1;9;50;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 50};0,397138224;0,460910216;0,30295993;0,289464797;0,132352702;0,316565174;0,111517959;48;-11,97382684;-12,54106043;-13,91138936;-15,07171599;-12,96977619;-13,29355376;1,091452154;48
44;11,43210039;1,128635253;0,00240202;0,000800574;0,01;9;10;{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 10};0,109658061;0,130276226;0,133831869;0,09314413;0,102145685;0,113811194;0,015826464;49;-14,55132413;-15,92921523;-15,50753372;-17,02703529;-13,19361508;-15,24174469;1,296305332;49
30;103,6483562;1,426649216;0,004604292;0,000490427;0,001;9;100;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 100};0,109490134;0,130452433;0,131691556;0,093293111;0,099859768;0,112957401;0,015667156;50;-14,55269632;-15,92760151;-15,52668156;-17,02563661;-13,21039973;-15,24860314;1,291106022;50
40;8,69206543;0,107966484;0,002002001;0,000632862;0,01;7;10;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 10};0,114137885;0,12665162;0,124568611;0,092598993;0,103956431;0,112382708;0,012787308;51;-14,5146699;-15,96237352;-15,59023606;-17,03215224;-13,18030426;-15,2559472;1,313276603;51
26;84,56488013;1,865916963;0,004403973;0,000800657;0,001;7;100;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100};0,113106947;0,125982788;0,122877033;0,090180009;0,105166538;0,111462663;0,012933817;52;-14,5231133;-15,96848455;-15,60529113;-17,05483961;-13,17140126;-15,26462597;1,322706715;52
22;61,37646723;2,290362229;0,002602339;0,000490466;0,001;5;100;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100};0,116193531;0,112194693;0,115531693;0,08437205;0,101780444;0,106014482;0,011989223;53;-14,49781945;-16,09394742;-15,67049703;-17,10918895;-13,19629834;-15,31355024;1,349734897;53
36;6,320701981;0,480203655;0,001401472;0,00049033;0,01;5;10;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10};0,116111286;0,11221821;0,116261156;0,0827077;0,101366424;0,105732955;0,012726667;54;-14,49849401;-16,09373426;-15,6640336;-17,1247317;-13,1993393;-15,31606657;1,352484888;54
32;3,593540955;0,095611057;0,001401377;0,000490408;0,01;3;10;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10};0,106713613;0,093198097;0,099992165;0,074690258;0,086741689;0,092267164;0,011033772;55;-14,57536559;-16,26521922;-15,80755782;-17,19940682;-13,30631159;-15,43077221;1,357305494;55
18;38,3251687;2,084583347;0,006806135;0,009608626;0,001;3;100;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100};0,10617479;0,092730878;0,099665734;0,073588827;0,086738021;0,09177965;0,011194993;56;-14,5797608;-16,26940891;-15,81042424;-17,20964034;-13,30633831;-15,43511452;1,360085625;56
15;535,1336058;3,957879459;0,023421383;0,009695787;0,0001;9;500;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 500};0,057374008;0,068207543;0,070026265;0,047846404;0,043197678;0,05733038;0,010669387;57;-14,97248217;-16,48782256;-16,06856061;-17,44710633;-13,61983927;-15,71916219;1,316312785;57
29;53,7391768;1,272994652;0,003203011;0,000400496;0,001;9;50;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 50};0,057294689;0,067990336;0,070109891;0,047802621;0,042284663;0,05709644;0,010897982;58;-14,9731121;-16,48974415;-16,06783813;-17,44750747;-13,626336;-15,72090757;1,314461551;58
25;43,9190938;2,09286911;0,002802467;0,000400472;0,001;7;50;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50};0,057053132;0,066168955;0,063954581;0,046892205;0,046218325;0,05605744;0,008323565;59;-14,97503032;-16,50584884;-16,1209301;-17,45584644;-13,59832321;-15,73119578;1,330212894;59
11;414,0366447;2,860447516;0,010008955;0,002192864;0,0001;7;500;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 500};0,057035121;0,06602575;0,063806967;0,046810176;0,045994457;0,055934494;0,008331604;60;-14,97517333;-16,5071144;-16,12220118;-17,45659759;-13,59991899;-15,7322011;1,330101649;60
21;30,98905096;0,819570661;0,002001715;3,50E-07;0,001;5;50;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50};0,059963056;0,05825552;0,061974518;0,043987403;0,043710861;0,053578272;0,00803106;61;-14,95190606;-16,57563792;-16,13797179;-17,48242643;-13,61618627;-15,75282569;1,343396921;61
7;290,4163175;2,246105063;0,006606102;0,001201113;0,0001;5;500;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 500};0,060005419;0,058221028;0,06196691;0,044004413;0,043422524;0,053524059;0,00809958;62;-14,95156916;-16,57594146;-16,13803723;-17,4822709;-13,61823887;-15,75321153;1,342785196;62
17;19,00894675;0,945653806;0,002001858;2,43E-07;0,001;3;50;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50};0,055448922;0,047019025;0,052204606;0,03627777;0,035059696;0,045202004;0,00824434;63;-14,98776321;-16,67423142;-16,22179582;-17,5527772;-13,67763769;-15,82284107;1,354692733;63
3;180,6098493;2,228149238;0,003803253;0,000400305;0,0001;3;500;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 500};0,055412406;0,047002453;0,052188899;0,036296275;0,035043558;0,045188718;0,008231838;64;-14,98805292;-16,67437641;-16,22193023;-17,55260868;-13,67775207;-15,82294406;1,354603897;64
28;11,49076486;0,870273321;0,001801634;0,000400376;0,001;9;10;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 10};0,01152481;0,012775791;0,014701811;0,008206912;-0,007145237;0,008012817;0,007868506;65;-15,33228861;-16,97116313;-16,53961805;-17,80657694;-13,97355549;-16,12464044;1,33960482;66
14;103,8414073;0,510171198;0,007406664;0,006835651;0,0001;9;100;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 100};0,011481435;0,012795857;0,014671386;0,008362369;-0,007252259;0,008011758;0,007904303;66;-15,332625;-16,97099065;-16,53987341;-17,80518135;-13,97429791;-16,12459367;1,338970224;65
24;8,772005463;0,445914188;0,002002001;2,13E-07;0,001;7;10;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 10};0,011462604;0,012520108;0,013657039;0,00830015;-0,006488814;0,007890218;0,007407815;67;-15,33277104;-16,97336069;-16,5483847;-17,80573992;-13,969001;-16,12585147;1,341626768;67
10;80,6122283;1,210822029;0,003203058;0,000400591;0,0001;7;100;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 100};0,011382283;0,012440625;0,013646817;0,008298463;-0,006590311;0,007835575;0,007428009;68;-15,33339395;-16,97404377;-16,54847046;-17,80575507;-13,96970532;-16,12627371;1,341422181;68
6;60,76671386;0,783130376;0,002602339;0,000490563;0,0001;5;100;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 100};0,012190953;0,010906777;0,013192586;0,007739748;-0,007298082;0,007346396;0,007549032;69;-15,32712145;-16,98722044;-16,55228043;-17,81077016;-13,97461577;-16,13040165;1,343758187;69
20;6,548638535;0,324461486;0,001401186;0,000490077;0,001;5;10;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 10};0,012143574;0,010933544;0,013190078;0,007728858;-0,007279271;0,007343357;0,007537712;70;-15,32748902;-16,98699059;-16,55230147;-17,81086789;-13,97448529;-16,13042685;1,343752576;70
16;3,756490135;0,270518926;0,001401043;0,000490388;0,001;3;10;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 10};0,011188827;0,008309928;0,010809786;0,005670249;-0,009171435;0,005361471;0,00753175;71;-15,33489412;-17,00950567;-16,57225241;-17,82933392;-13,98760459;-16,14671814;1,347405446;71
2;35,95473218;0,735145874;0,005004549;0,006005454;0,0001;3;100;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 100};0,011181372;0,008303542;0,010804974;0,005680936;-0,009176529;0,005358859;0,007531457;72;-15,33495192;-17,00956044;-16,57229272;-17,82923811;-13,98763989;-16,14673662;1,347372799;72
13;50,7913528;0,72621302;0,003203011;0,000400376;0,0001;9;50;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 50};0,005414534;0,005528359;0,007339087;0,003179525;-0,01389528;0,001513245;0,007816403;73;-15,379604;-17,03334376;-16,60129987;-17,85165056;-14,02030376;-16,17724039;1,342012539;73
9;41,28514547;0,875667369;0,002001905;1,91E-07;0,0001;7;50;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 50};0,0053746;0,005312004;0,006846584;0,003174489;-0,013611165;0,001419302;0,007605899;74;-15,37991276;-17,03519653;-16,60541769;-17,85169565;-14,01833923;-16,17811237;1,343116282;74
5;31,14152088;1,662175735;0,002602434;0,001200986;0,0001;5;50;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 50};0,005862756;0,004605266;0,006628659;0,002865437;-0,013891228;0,001214178;0,007659312;75;-15,37613811;-17,04124731;-16,60723943;-17,85446277;-14,02027574;-16,17987267;1,344522871;75
1;17,77898836;0,656396927;0,001801682;0,0004004;0,0001;3;50;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 50};0,005270534;0,003243383;0,005430935;0,001837406;-0,014865815;0,000183289;0,007641906;76;-15,38071732;-17,0529011;-16,61724822;-17,86366424;-14,02701251;-16,18830868;1,346234035;76
12;10,43358488;0,08563044;0,001801872;0,000400257;0,0001;9;10;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 10};0,000525727;-0,000392458;0,001452988;-0,001045941;-0,019266304;-0,003745198;0,007806325;77;-15,41735628;-17,08397449;-16,65044681;-17,88944662;-14,05739039;-16,21972292;1,344611857;77
8;8,553896189;0,598428479;0,002403975;0,000492811;0,0001;7;10;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 10};0,000519643;-0,000447627;0,001358174;-0,001015815;-0,019204291;-0,003757983;0,007765817;78;-15,41740321;-17,08444554;-16,65123728;-17,88917742;-14,05696276;-16,21984524;1,344788203;78
4;6,145467329;0,146531848;0,001201057;0,000400472;0,0001;5;10;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 10};0,000614302;-0,000563566;0,001325915;-0,001092768;-0,019278644;-0,003798952;0,007786566;79;-15,41667312;-17,08543545;-16,65150622;-17,88986502;-14,05747548;-16,22019106;1,345025762;79
0;3,48152976;0,102968513;0,002002096;2,86E-07;0,0001;3;10;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 10};0,000495412;-0,000845009;0,00108714;-0,001265375;-0,019465292;-0,003998625;0,007780683;80;-15,41759009;-17,08783822;-16,65349672;-17,89140723;-14,05876251;-16,22181895;1,345322066;80
